id	filename	md5	size	state
e70c89a5-1c2f-43f8-b6be-589beea55338	TCGA-BH-A201-01Z-00-DX1.6D6E3224-50A0-45A2-B231-EEF27CA7EFD2.svs		1702204399	released
fb9961aa-e11f-4f75-bc5a-990e9302ae6e	TCGA-BH-A202-01Z-00-DX1.8CECDB74-5E6F-4CE8-B52C-A89E574F38FB.svs		1665591999	released
a9dac042-e1da-4ad1-b585-7e08128f3c82	TCGA-C8-A1HF-01Z-00-DX1.81EF9A57-54E1-4750-9816-5571FD18A297.svs		1403476057	released
5c8c6224-f72a-4372-83c1-66453dd0a6c1	TCGA-C8-A1HG-01Z-00-DX1.F2AB6D0F-4D6B-491F-915B-92E838E79D67.svs		1612923587	released
1bf2c09e-854f-414f-9b5e-2ad8a5176abd	TCGA-C8-A1HI-01Z-00-DX1.C6D0F8B8-55ED-477F-BAF7-AA05D0449CC8.svs		933681451	released
7c18fde2-b392-4ae1-a711-1bd707f5800e	TCGA-C8-A1HJ-01Z-00-DX1.745159F1-85E7-4CC0-B088-E1CA91916FB8.svs		959156633	released
3ab1328c-52fc-4fd2-bebf-311498100c40	TCGA-C8-A1HK-01Z-00-DX1.A15F452B-1260-4106-86D1-05F00082F0CE.svs		925886683	released
a3e9a779-c21a-464b-8423-576dedc41aa1	TCGA-C8-A1HM-01Z-00-DX1.F93C3F56-3AA6-4D38-B51E-4694CBEA3830.svs		591939703	released
bb7d6bc1-4d6a-4ecc-a8ad-ecc31ff4f471	TCGA-C8-A1HO-01Z-00-DX1.0C702CEE-C373-4D00-A706-32206D41AC17.svs		847875927	released
fd14c846-f78b-4c3d-8a40-bdc7fe1d6776	TCGA-D8-A1J8-01Z-00-DX2.5DCB3447-548D-442C-86B1-CEF79B8689DF.svs		2123358427	released
63d21650-e301-42e7-9377-920497146642	TCGA-D8-A1J9-01Z-00-DX1.F81FA9EF-8129-4E17-A9AD-2B850782CC18.svs		2508261765	released
62e80675-cadc-47b9-9187-f545af4b457c	TCGA-D8-A1JA-01Z-00-DX1.BD43F94A-D5A8-490E-AED4-5F3AB24080FA.svs		1653069049	released
9b8dec44-e674-4dc7-a8a8-c962c907b64b	TCGA-D8-A1JC-01Z-00-DX2.854ABF5D-40F1-48AE-802F-97D75497F1FD.svs		1344945057	released
e15f67af-fb62-42c8-a451-83b035867106	TCGA-D8-A1JD-01Z-00-DX1.6D215B14-DD90-4635-8645-AF06EBD9BA3F.svs		1446974081	released
8f0683e7-715c-4ac3-9d3c-164b7d20da0c	TCGA-D8-A1JE-01Z-00-DX1.714805A1-E337-46DA-88D9-6CE4B4E3C2D0.svs		2061902771	released
1e9d6a1d-b010-4e42-886e-e5769fb777ab	TCGA-D8-A1JF-01Z-00-DX1.224EDA43-F822-4A88-814A-BA7D4C60F8CC.svs		2059023865	released
1bac9786-4d56-4f08-9792-ed131b398907	TCGA-D8-A1JH-01Z-00-DX1.4A4F2502-612C-421D-9F64-444BF2C85620.svs		1680116629	released
