model,n_folds,auroc_mean,auroc_std,auprc_mean,auprc_std,pooled_auroc,pooled_auroc_lo,pooled_auroc_hi,pooled_auprc,pooled_auprc_lo,pooled_auprc_hi
Mean-pool + LR,5,0.5827,0.0788,0.7444,0.0451,0.5857,0.4855,0.6794,0.7384,0.6538,0.8238
CLAM-SB,5,0.542,0.0411,0.7223,0.0359,0.5388,0.4469,0.6356,0.7157,0.636,0.8078
Tumor-Aware CLAM,5,0.5625,0.0534,0.7432,0.0442,0.5457,0.459,0.6323,0.7312,0.6505,0.8238
