model,n_folds,auroc_mean,auroc_std,auprc_mean,auprc_std,pooled_auroc,pooled_auroc_lo,pooled_auroc_hi,pooled_auprc,pooled_auprc_lo,pooled_auprc_hi
Mean-pool + LR,5,0.5316,0.0705,0.7838,0.055,0.531,0.4284,0.629,0.7676,0.6903,0.8476
CLAM-SB,5,0.5226,0.05,0.7805,0.0323,0.5158,0.4222,0.6088,0.7733,0.6936,0.8513
Tumor-Aware CLAM,5,0.5076,0.0654,0.7681,0.0261,0.5195,0.4242,0.6109,0.7637,0.6848,0.8472
