target,model,auroc_mean,auroc_std,pooled_auroc,pooled_auroc_lo,pooled_auroc_hi,pooled_auprc,pooled_auprc_lo,pooled_auprc_hi
ER_status,Mean-pool + LR,0.5316,0.0705,0.531,0.4284,0.629,0.7676,0.6903,0.8476
ER_status,CLAM-SB,0.5226,0.05,0.5158,0.4222,0.6088,0.7733,0.6936,0.8513
ER_status,Tumor-Aware CLAM,0.5076,0.0654,0.5195,0.4242,0.6109,0.7637,0.6848,0.8472
PR_status,Mean-pool + LR,0.5827,0.0788,0.5857,0.4855,0.6794,0.7384,0.6538,0.8238
PR_status,CLAM-SB,0.542,0.0411,0.5388,0.4469,0.6356,0.7157,0.636,0.8078
PR_status,Tumor-Aware CLAM,0.5625,0.0534,0.5457,0.459,0.6323,0.7312,0.6505,0.8238
HER2_status,Mean-pool + LR,0.56,0.0472,0.5721,0.454,0.6859,0.3038,0.2027,0.4774
HER2_status,CLAM-SB,0.5106,0.1083,0.4856,0.361,0.6044,0.2618,0.1688,0.413
HER2_status,Tumor-Aware CLAM,0.497,0.1551,0.5039,0.3694,0.6259,0.2989,0.1849,0.4668
